Municípios,Gentílico,PIB per capita,População
Lassance,mineiro,"29649,11 R$",7124 pessoas
Lavras,mineiro,"27818,1 R$",104761 pessoas
Leandro Ferreira,mineiro,"17228,55 R$",3199 pessoas
Leme do Prado,mineiro,"13448,01 R$",4341 pessoas
Leopoldina,mineiro,"21124,06 R$",51145 pessoas
Liberdade,mineiro,"21553,54 R$",4737 pessoas
Lima Duarte,mineiro,"20279,44 R$",17221 pessoas
Limeira do Oeste,mineiro,"60582,62 R$",8687 pessoas
Lontra,mineiro,"9610,66 R$",8790 pessoas
Luisburgo,mineiro,"21249,6 R$",6956 pessoas
Luislândia,mineiro,"9721,43 R$",6210 pessoas
Luminárias,mineiro,"27448,05 R$",5586 pessoas
Luz,mineiro,"35908,88 R$",17875 pessoas
Machacalis,mineiro,"15811,47 R$",6487 pessoas
Machado,mineiro,"32188,05 R$",37684 pessoas
Madre de Deus de Minas,mineiro,"58993,52 R$",5191 pessoas
Malacacheta,mineiro,"12708,51 R$",17516 pessoas
Mamonas,mineiro,"9155,69 R$",5997 pessoas
Manga,mineiro,"13482,39 R$",18886 pessoas
Manhuaçu,mineiro,"35607,52 R$",91886 pessoas
Manhumirim,mineiro,"24613,19 R$",20613 pessoas
Mantena,mineiro,"17248,55 R$",26535 pessoas
Mar de Espanha,mineiro,"17526,23 R$",12721 pessoas
Maravilhas,mineiro,"28738,33 R$",7333 pessoas
Maria da Fé,mineiro,"14490,07 R$",14247 pessoas
Mariana,mineiro,"119155,4 R$",61387 pessoas
Marilac,mineiro,"14150,23 R$",4224 pessoas
Mário Campos,mineiro,"12520,55 R$",15900 pessoas
Maripá de Minas,mineiro,"24993,05 R$",3387 pessoas
Marliéria,mineiro,"14999,89 R$",4592 pessoas
Marmelópolis,mineiro,"15843,65 R$",3200 pessoas
Martinho Campos,mineiro,"35176,11 R$",14003 pessoas
Martins Soares,mineiro,"24963,05 R$",8396 pessoas
Mata Verde,mineiro,"10526,08 R$",9112 pessoas
Materlândia,mineiro,"13710,97 R$",3963 pessoas
Mateus Leme,mineiro,"34132,67 R$",37841 pessoas
Mathias Lobato,mineiro,"13915,37 R$",3038 pessoas
Matias Barbosa,mineiro,"42951,23 R$",14121 pessoas
Matias Cardoso,mineiro,"13964,57 R$",8895 pessoas
Matipó,mineiro,"22270,48 R$",18552 pessoas
Mato Verde,mineiro,"12741,8 R$",12038 pessoas
Matozinhos,mineiro,"39152,41 R$",37618 pessoas
Matutina,mineiro,"26036,56 R$",3814 pessoas
Medeiros,mineiro,"64058,5 R$",3900 pessoas
Medina,mineiro,"12224,08 R$",20156 pessoas
Mendes Pimentel,mineiro,"12006,86 R$",5606 pessoas
Mercês,mineiro,"14085,21 R$",10373 pessoas
Mesquita,mineiro,"10833,03 R$",5040 pessoas
Minas Novas,mineiro,"11112,45 R$",24405 pessoas
Minduri,mineiro,"42093,45 R$",3741 pessoas
Mirabela,mineiro,"11941,74 R$",13651 pessoas
Miradouro,mineiro,"16084,86 R$",8968 pessoas
Miraí,mineiro,"21973,7 R$",13633 pessoas
Miravânia,mineiro,"9477,13 R$",3985 pessoas
Moeda,mineiro,"15529,83 R$",5125 pessoas
Moema,mineiro,"20110,03 R$",7548 pessoas
Monjolos,mineiro,"21433,52 R$",2169 pessoas
Monsenhor Paulo,mineiro,"26033,53 R$",8340 pessoas
Montalvânia,mineiro,"11313,56 R$",14060 pessoas
Monte Alegre de Minas,mineiro,"35500,1 R$",20170 pessoas
Monte Azul,mineiro,"12467,46 R$",20328 pessoas
Monte Belo,mineiro,"27847,63 R$",13046 pessoas
Monte Carmelo,mineiro,"32440,12 R$",47692 pessoas
Monte Formoso,mineiro,"8919,75 R$",4381 pessoas
Monte Santo de Minas,mineiro,"22477,33 R$",20890 pessoas
Monte Sião,mineiro,"25011,26 R$",24089 pessoas
Montes Claros,mineiro,"25870,23 R$",414240 pessoas
Montezuma,mineiro,"10868,92 R$",6888 pessoas
Morada Nova de Minas,mineiro,"60432,26 R$",9067 pessoas
Morro da Garça,mineiro,"21156,64 R$",2411 pessoas
Morro do Pilar,mineiro,"14113,38 R$",3133 pessoas
Munhoz,mineiro,"21570,92 R$",7451 pessoas
Muriaé,mineiro,"24137,53 R$",104108 pessoas
Mutum,mineiro,"18874,87 R$",27635 pessoas
Muzambinho,mineiro,"26091,09 R$",21891 pessoas
Nacip Raydan,mineiro,11607 R$,2459 pessoas
Nanuque,mineiro,"19924,58 R$",35038 pessoas
Naque,mineiro,"12675,74 R$",6303 pessoas
Natalândia,mineiro,"22725,11 R$",3520 pessoas
Natércia,mineiro,"24403,15 R$",4691 pessoas
Nazareno,mineiro,"76794,68 R$",8179 pessoas
Nepomuceno,mineiro,"23008,04 R$",25018 pessoas
Ninheira,mineiro,"12205,08 R$",10588 pessoas
Nova Belém,mineiro,"27201,82 R$",3151 pessoas
Nova Era,mineiro,"24702,73 R$",17438 pessoas
Nova Lima,mineiro,"216092,4 R$",111697 pessoas
Nova Módica,mineiro,"16530,55 R$",3663 pessoas
Nova Ponte,mineiro,"69569,06 R$",14598 pessoas
Nova Porteirinha,mineiro,"15515,42 R$",6706 pessoas
Nova Resende,mineiro,"22770,81 R$",16387 pessoas
Nova Serrana,mineiro,"24352,06 R$",105552 pessoas
Nova União,mineiro,"18734,56 R$",5909 pessoas
Novo Cruzeiro,mineiro,"10544,29 R$",26975 pessoas
Novo Oriente de Minas,mineiro,"11256,56 R$",10275 pessoas
Novorizonte,mineiro,"13167,03 R$",4571 pessoas
Olaria,mineiro,"18836,72 R$",1945 pessoas
Olhos-d'Água,mineiro,"33947,04 R$",5385 pessoas
Olímpio Noronha,mineiro,"15528,17 R$",2555 pessoas
Oliveira,mineiro,"26318,88 R$",39262 pessoas
Oliveira Fortes,mineiro,"19047,02 R$",2027 pessoas
Onça de Pitangui,mineiro,"20575,42 R$",2969 pessoas
Oratórios,mineiro,"15170,99 R$",4917 pessoas
Orizânia,mineiro,"14998,7 R$",8437 pessoas
Ouro Branco,mineiro,219860 R$,38724 pessoas
Ouro Fino,mineiro,"27526,34 R$",32094 pessoas
Ouro Preto,mineiro,"127232,37 R$",74821 pessoas
Ouro Verde de Minas,mineiro,"11503,59 R$",5757 pessoas
Padre Carvalho,mineiro,"8999,72 R$",5058 pessoas
Padre Paraíso,mineiro,"10514,08 R$",17334 pessoas
Pai Pedro,mineiro,"9617,09 R$",5551 pessoas
Paineiras,mineiro,"18654,32 R$",4224 pessoas
Pains,mineiro,"63965,84 R$",8142 pessoas
Paiva,mineiro,"17996,58 R$",1474 pessoas
Palma,mineiro,"15693,82 R$",5707 pessoas
Palmópolis,mineiro,"12292,83 R$",6301 pessoas
Papagaios,mineiro,"23511,04 R$",13920 pessoas
Pará de Minas,mineiro,"42098,58 R$",97139 pessoas
Paracatu,mineiro,"76144,41 R$",94023 pessoas
Paraguaçu,mineiro,"29998,34 R$",21723 pessoas
Paraisópolis,mineiro,"27752,05 R$",20445 pessoas
Paraopeba,mineiro,"36955,29 R$",24107 pessoas
Passa Quatro,mineiro,"28737,93 R$",15515 pessoas
Passa Tempo,mineiro,"59808,53 R$",8473 pessoas
Passa Vinte,mineiro,"20794,2 R$",2233 pessoas
Passabém,mineiro,14574 R$,1600 pessoas
Passos,mineiro,"26081,82 R$",111939 pessoas
Patis,mineiro,"9122,53 R$",4837 pessoas
Patos de Minas,mineiro,"39738,04 R$",159235 pessoas
Patrocínio,mineiro,"39932,3 R$",89826 pessoas
Patrocínio do Muriaé,mineiro,"20206,33 R$",5576 pessoas
Paula Cândido,mineiro,"14255,97 R$",8659 pessoas
Paulistas,mineiro,"14048,81 R$",4389 pessoas
Pavão,mineiro,"11093,87 R$",8047 pessoas
Peçanha,mineiro,"15407,09 R$",17446 pessoas
Pedra Azul,mineiro,"16498,08 R$",24410 pessoas
Pedra Bonita,mineiro,"13480,12 R$",7320 pessoas
Pedra do Anta,mineiro,"19502,49 R$",3311 pessoas
Pedra do Indaiá,mineiro,"29206,43 R$",4112 pessoas
Pedra Dourada,mineiro,"16527,2 R$",2757 pessoas
Pedralva,mineiro,"16460,4 R$",10760 pessoas
Pedras de Maria da Cruz,mineiro,"8900,37 R$",10433 pessoas
Pedrinópolis,mineiro,"55906,67 R$",3344 pessoas
Pedro Leopoldo,mineiro,"29763,4 R$",62580 pessoas
Pedro Teixeira,mineiro,"16778,21 R$",1810 pessoas
Pequeri,mineiro,"18724,66 R$",3351 pessoas
Pequi,mineiro,"19184,76 R$",4155 pessoas
Perdigão,mineiro,"18941,95 R$",12268 pessoas
Perdizes,mineiro,"98918,71 R$",17151 pessoas
Perdões,mineiro,"29060,6 R$",21384 pessoas
Periquito,mineiro,"16574,4 R$",6553 pessoas
Pescador,mineiro,"11054,09 R$",3570 pessoas
Piau,mineiro,"34082,97 R$",2796 pessoas
Piedade de Caratinga,mineiro,"15939,53 R$",8529 pessoas
Piedade de Ponte Nova,mineiro,"15149,65 R$",3976 pessoas
Piedade do Rio Grande,mineiro,"24887,48 R$",4604 pessoas
Piedade dos Gerais,mineiro,"17842,82 R$",5019 pessoas
Pimenta,mineiro,"32326,06 R$",8563 pessoas
Pingo-d'Água,mineiro,"10483,1 R$",4706 pessoas
Pintópolis,mineiro,"9445,44 R$",7084 pessoas
Piracema,mineiro,"47478,8 R$",6700 pessoas
Pirajuba,mineiro,"62212,95 R$",5537 pessoas
Piranga,mineiro,"11347,31 R$",17018 pessoas
Piranguçu,mineiro,"14238,45 R$",6041 pessoas
Piranguinho,mineiro,"15671,86 R$",9120 pessoas
Pirapetinga,mineiro,"59224,34 R$",11077 pessoas
Pirapora,mineiro,"50580,69 R$",55606 pessoas
Piraúba,mineiro,"18697,86 R$",11610 pessoas
Pitangui,mineiro,"26073,15 R$",26685 pessoas
Piumhi,mineiro,"36452,59 R$",36062 pessoas
Planura,mineiro,"46149,3 R$",11145 pessoas
Poço Fundo,mineiro,"23897,47 R$",16390 pessoas
Poços de Caldas,mineiro,"50234,29 R$",163742 pessoas
Pocrane,mineiro,"14686,18 R$",8350 pessoas
Pompéu,mineiro,"36287,11 R$",31047 pessoas
Ponte Nova,mineiro,"35748,11 R$",57776 pessoas
Ponto Chique,mineiro,"12096,62 R$",3747 pessoas
Ponto dos Volantes,mineiro,"10016,81 R$",10883 pessoas
Porteirinha,mineiro,"13931,71 R$",37438 pessoas
Porto Firme,mineiro,"11411,12 R$",10569 pessoas
Poté,mineiro,"10122,67 R$",13666 pessoas
Pouso Alegre,mineiro,"69478,81 R$",152217 pessoas
Pouso Alto,mineiro,"47333,42 R$",6566 pessoas
Prados,mineiro,"25109,69 R$",9048 pessoas
Prata,mineiro,"45907,1 R$",28342 pessoas
Pratápolis,mineiro,"26805,27 R$",8406 pessoas
Pratinha,mineiro,"42299,41 R$",3559 pessoas
Presidente Bernardes,mineiro,"12740,53 R$",4850 pessoas
Presidente Juscelino,mineiro,"13744,52 R$",3465 pessoas
Presidente Kubitschek,mineiro,"12064,56 R$",3071 pessoas
Presidente Olegário,mineiro,"37169,17 R$",18765 pessoas
Prudente de Morais,mineiro,"18583,47 R$",11466 pessoas
Quartel Geral,mineiro,"21546,08 R$",3179 pessoas
Queluzito,mineiro,"20557,6 R$",1770 pessoas
Raposos,mineiro,"11738,63 R$",16279 pessoas
Raul Soares,mineiro,"17893,53 R$",23423 pessoas
Recreio,mineiro,"11720,36 R$",11007 pessoas
Reduto,mineiro,"16727,6 R$",7848 pessoas
Resende Costa,mineiro,"17924,97 R$",11230 pessoas
Resplendor,mineiro,"15972,45 R$",17226 pessoas
Ressaquinha,mineiro,"77296,87 R$",4548 pessoas
Riachinho,mineiro,"19338,76 R$",6863 pessoas
Riacho dos Machados,mineiro,"56250,5 R$",8756 pessoas
Ribeirão das Neves,mineiro,"15177,16 R$",329794 pessoas
Ribeirão Vermelho,mineiro,"25941,3 R$",4080 pessoas
Rio Acima,mineiro,"44894,6 R$",10261 pessoas
Rio Casca,mineiro,"17735,11 R$",12789 pessoas
Rio do Prado,mineiro,"10293,72 R$",4639 pessoas
Rio Doce,mineiro,"19723,72 R$",2484 pessoas
Rio Espera,mineiro,"11179,64 R$",5429 pessoas
Rio Manso,mineiro,"19200,76 R$",5568 pessoas
Rio Novo,mineiro,"13398,92 R$",8518 pessoas
Rio Paranaíba,mineiro,"73353,29 R$",14532 pessoas
Rio Pardo de Minas,mineiro,"11082,95 R$",28271 pessoas
Rio Piracicaba,mineiro,"93493,98 R$",14631 pessoas
Rio Pomba,mineiro,"23182,02 R$",17443 pessoas
Rio Preto,mineiro,"12594,6 R$",5141 pessoas
Rio Vermelho,mineiro,"11141,09 R$",12641 pessoas
Ritápolis,mineiro,"19986,09 R$",4994 pessoas
Rochedo de Minas,mineiro,"49137,34 R$",2291 pessoas
Rodeiro,mineiro,"66014,18 R$",8664 pessoas
Romaria,mineiro,"77429,93 R$",3386 pessoas
Rosário da Limeira,mineiro,"14573,75 R$",4734 pessoas
Rubelita,mineiro,"14277,94 R$",5679 pessoas
Rubim,mineiro,"10879,32 R$",10298 pessoas
Sabará,mineiro,"30474,48 R$",129380 pessoas
Sabinópolis,mineiro,"21787,62 R$",14240 pessoas
Sacramento,mineiro,"78738,77 R$",26670 pessoas
Salinas,mineiro,"15942,32 R$",40178 pessoas
Salto da Divisa,mineiro,"18829,72 R$",6110 pessoas
Santa Bárbara,mineiro,"51093,18 R$",30466 pessoas
Santa Bárbara do Leste,mineiro,"13595,98 R$",8458 pessoas
Santa Bárbara do Monte Verde,mineiro,"17510,49 R$",3095 pessoas
Santa Bárbara do Tugúrio,mineiro,"16098,97 R$",4208 pessoas
Santa Cruz de Minas,mineiro,"11867,33 R$",8109 pessoas
Santa Cruz de Salinas,mineiro,"12029,68 R$",3910 pessoas
Santa Cruz do Escalvado,mineiro,"16399,94 R$",4673 pessoas
Santa Efigênia de Minas,mineiro,"11717,67 R$",4039 pessoas
Santa Fé de Minas,mineiro,"15749,38 R$",3522 pessoas
Santa Helena de Minas,mineiro,"9046,39 R$",5938 pessoas
Santa Juliana,mineiro,"59355,88 R$",15734 pessoas
Santa Luzia,mineiro,"23863,19 R$",219132 pessoas
Santa Margarida,mineiro,"21598,4 R$",16395 pessoas
Santa Maria de Itabira,mineiro,"24757,78 R$",10485 pessoas
Santa Maria do Salto,mineiro,"9608,97 R$",4755 pessoas
Santa Maria do Suaçuí,mineiro,"11695,78 R$",12788 pessoas
Santa Rita de Caldas,mineiro,"25612,88 R$",8460 pessoas
Santa Rita de Ibitipoca,mineiro,"18272,52 R$",3301 pessoas
Santa Rita de Jacutinga,mineiro,"15448,41 R$",4755 pessoas
Santa Rita de Minas,mineiro,"20733,84 R$",6773 pessoas
Santa Rita do Itueto,mineiro,"33004,29 R$",5826 pessoas
Santa Rita do Sapucaí,mineiro,"43969,93 R$",40635 pessoas
Santa Rosa da Serra,mineiro,"30331,26 R$",3382 pessoas
Santa Vitória,mineiro,"40140,53 R$",20973 pessoas
Santana da Vargem,mineiro,"34469,93 R$",6691 pessoas
Santana de Cataguases,mineiro,"12773,83 R$",3489 pessoas
Santana de Pirapama,mineiro,"15479,54 R$",7030 pessoas
Santana do Deserto,mineiro,"11889,16 R$",3747 pessoas
Santana do Garambéu,mineiro,"15700,64 R$",2137 pessoas
Santana do Jacaré,mineiro,"21867,84 R$",4214 pessoas
Santana do Manhuaçu,mineiro,"21922,2 R$",8987 pessoas
Santana do Paraíso,mineiro,"20818,42 R$",44800 pessoas
Santana do Riacho,mineiro,23947 R$,5313 pessoas
Santana dos Montes,mineiro,"13286,87 R$",3469 pessoas
Santo Antônio do Amparo,mineiro,"18956,63 R$",17285 pessoas
Santo Antônio do Aventureiro,mineiro,"18856,11 R$",3769 pessoas
Santo Antônio do Grama,mineiro,"22189,15 R$",4229 pessoas
Santo Antônio do Itambé,mineiro,"11880,62 R$",3915 pessoas
Santo Antônio do Jacinto,mineiro,"9900,93 R$",10327 pessoas
Santo Antônio do Monte,mineiro,"29473,46 R$",27295 pessoas
Santo Antônio do Retiro,mineiro,"9670,55 R$",6629 pessoas
Santo Antônio do Rio Abaixo,mineiro,"16228,63 R$",1808 pessoas
Santo Hipólito,mineiro,"16491,4 R$",2717 pessoas
Santos Dumont,mineiro,"23793,1 R$",42406 pessoas
São Bento Abade,mineiro,"16505,34 R$",4713 pessoas
São Brás do Suaçuí,mineiro,"21354,17 R$",3989 pessoas
São Domingos das Dores,mineiro,"16117,24 R$",5626 pessoas
São Domingos do Prata,mineiro,"18125,06 R$",17392 pessoas
São Félix de Minas,mineiro,"13087,33 R$",3200 pessoas
São Francisco,mineiro,"11446,32 R$",52762 pessoas
São Francisco de Paula,mineiro,"23108,24 R$",6187 pessoas
São Francisco de Sales,mineiro,"30763,55 R$",5732 pessoas
São Francisco do Glória,mineiro,"15251,54 R$",4800 pessoas
São Geraldo,mineiro,"20738,3 R$",10282 pessoas
São Geraldo da Piedade,mineiro,"11611,66 R$",3305 pessoas
São Geraldo do Baixio,mineiro,"12169,53 R$",3143 pessoas
São Gonçalo do Abaeté,mineiro,"38182,29 R$",7375 pessoas
São Gonçalo do Pará,mineiro,"24361,9 R$",11770 pessoas
São Gonçalo do Rio Abaixo,mineiro,"684168,71 R$",11850 pessoas
São Gonçalo do Rio Preto,mineiro,"15341,2 R$",3032 pessoas
São Gonçalo do Sapucaí,mineiro,"38470,78 R$",23959 pessoas
São Gotardo,mineiro,"32960,88 R$",40910 pessoas
São João Batista do Glória,mineiro,"35560,06 R$",7652 pessoas
São João da Lagoa,mineiro,"12208,13 R$",4822 pessoas
São João da Mata,mineiro,"20081,08 R$",2914 pessoas
São João da Ponte,mineiro,"10741,62 R$",23930 pessoas
São João das Missões,mineiro,"6983,08 R$",13024 pessoas
São João del Rei,mineiro,"33059,97 R$",90225 pessoas
São João do Manhuaçu,mineiro,"15536,64 R$",11246 pessoas
São João do Manteninha,mineiro,"13597,23 R$",5331 pessoas
São João do Oriente,mineiro,"13780,13 R$",7070 pessoas
São João do Pacuí,mineiro,"9974,47 R$",3972 pessoas
São João do Paraíso,mineiro,"11979,66 R$",23910 pessoas
São João Evangelista,mineiro,"16059,13 R$",15315 pessoas
São João Nepomuceno,mineiro,"19084,4 R$",25565 pessoas
São Joaquim de Bicas,mineiro,"33134,13 R$",34348 pessoas
São José da Barra,mineiro,"118358,54 R$",7793 pessoas
São José da Lapa,mineiro,"25528,59 R$",26090 pessoas
São José da Safira,mineiro,"11549,69 R$",3806 pessoas
São José da Varginha,mineiro,"22210,65 R$",4536 pessoas
São José do Alegre,mineiro,"13723,34 R$",4133 pessoas
São José do Divino,mineiro,"13774,55 R$",3464 pessoas
São José do Goiabal,mineiro,"12581,76 R$",5396 pessoas
São José do Jacuri,mineiro,"15589,16 R$",6197 pessoas
São José do Mantimento,mineiro,"15659,26 R$",2753 pessoas
São Lourenço,mineiro,"25310,43 R$",44798 pessoas
São Miguel do Anta,mineiro,"15122,87 R$",6334 pessoas
São Pedro da União,mineiro,"32471,15 R$",4885 pessoas
São Pedro do Suaçuí,mineiro,"15850,23 R$",5103 pessoas
São Pedro dos Ferros,mineiro,"17606,8 R$",7166 pessoas
São Romão,mineiro,"19123,79 R$",10315 pessoas
São Roque de Minas,mineiro,"45519,05 R$",7129 pessoas
São Sebastião da Bela Vista,mineiro,"79135,44 R$",6387 pessoas
São Sebastião da Vargem Alegre,mineiro,"21986,02 R$",3113 pessoas
São Sebastião do Anta,mineiro,"15565,34 R$",6194 pessoas
São Sebastião do Maranhão,mineiro,"10199,95 R$",10079 pessoas
São Sebastião do Oeste,mineiro,"85924,5 R$",8815 pessoas
São Sebastião do Paraíso,mineiro,"31099,51 R$",71796 pessoas
São Sebastião do Rio Preto,mineiro,"17571,23 R$",1259 pessoas
São Sebastião do Rio Verde,mineiro,"15800,11 R$",2300 pessoas
São Tomé das Letras,mineiro,"19208,82 R$",6904 pessoas
São Tiago,mineiro,"22414,96 R$",11192 pessoas
São Tomás de Aquino,mineiro,"27976,08 R$",6740 pessoas
São Vicente de Minas,mineiro,"26169,34 R$",6804 pessoas
Sapucaí-Mirim,mineiro,"15652,58 R$",6311 pessoas
Sardoá,mineiro,"10715,08 R$",5104 pessoas
Sarzedo,mineiro,"64346,33 R$",36844 pessoas
Sem-Peixe,mineiro,"14216,64 R$",2433 pessoas
Senador Amaral,mineiro,"16672,42 R$",6206 pessoas
Senador Cortes,mineiro,"19007,94 R$",2240 pessoas
Senador Firmino,mineiro,"13512,67 R$",7716 pessoas
Senador José Bento,mineiro,"24962,26 R$",2068 pessoas
Senador Modestino Gonçalves,mineiro,"22733,52 R$",4008 pessoas
Senhora de Oliveira,mineiro,"14013,7 R$",5483 pessoas
Senhora do Porto,mineiro,"14157,59 R$",3067 pessoas
Senhora dos Remédios,mineiro,11053 R$,10384 pessoas
Sericita,mineiro,"14303,08 R$",7345 pessoas
Seritinga,mineiro,"24357,44 R$",1819 pessoas
Serra Azul de Minas,mineiro,"10499,95 R$",3792 pessoas
Serra da Saudade,mineiro,"28392,42 R$",833 pessoas
Serra do Salitre,mineiro,"83678,44 R$",11801 pessoas
Serra dos Aimorés,mineiro,"10433,7 R$",6944 pessoas
Serrania,mineiro,"21083,52 R$",7621 pessoas
Serranópolis de Minas,mineiro,"9813,13 R$",4399 pessoas
Serranos,mineiro,"19785,54 R$",1990 pessoas
Serro,mineiro,"13982,29 R$",21952 pessoas
Sete Lagoas,mineiro,"51894,81 R$",227397 pessoas
Setubinha,mineiro,"9820,38 R$",9917 pessoas
Silveirânia,mineiro,"15505,21 R$",2323 pessoas
Silvianópolis,mineiro,"22619,95 R$",6179 pessoas
Simão Pereira,mineiro,"39707,08 R$",2947 pessoas
Simonésia,mineiro,"14383,71 R$",19750 pessoas
Sobrália,mineiro,"12303,29 R$",5137 pessoas
Soledade de Minas,mineiro,"13150,84 R$",5613 pessoas
Tabuleiro,mineiro,"17915,28 R$",4014 pessoas
Taiobeiras,mineiro,"16085,74 R$",33050 pessoas
Taparuba,mineiro,"15864,94 R$",3387 pessoas
Tapira,mineiro,"140948,55 R$",4118 pessoas
Tapiraí,mineiro,"29984,35 R$",1690 pessoas
Taquaraçu de Minas,mineiro,"16000,68 R$",4224 pessoas
Tarumirim,mineiro,"13189,15 R$",14709 pessoas
Teixeiras,mineiro,"16380,33 R$",12255 pessoas
Teófilo Otoni,mineiro,"20893,97 R$",137418 pessoas
Timóteo,mineiro,61482 R$,81579 pessoas
Tiradentes,mineiro,"25209,23 R$",7744 pessoas
Tiros,mineiro,"59641,82 R$",7883 pessoas
Tocantins,mineiro,"20853,44 R$",16185 pessoas
Tocos do Moji,mineiro,"17177,37 R$",3826 pessoas
Toledo,mineiro,"16912,97 R$",7214 pessoas
Tombos,mineiro,"17047,93 R$",8609 pessoas
Três Corações,mineiro,"36734,42 R$",75485 pessoas
Três Marias,mineiro,"95324,95 R$",28895 pessoas
Três Pontas,mineiro,"32896,24 R$",55255 pessoas
Tumiritinga,mineiro,"12198,83 R$",5886 pessoas
Tupaciguara,mineiro,"37169,53 R$",25470 pessoas
Turmalina,mineiro,"21879,01 R$",20000 pessoas
Turvolândia,mineiro,"27420,97 R$",4935 pessoas
Ubá,mineiro,"30288,91 R$",103365 pessoas
Ubaí,mineiro,"9258,29 R$",11708 pessoas
Ubaporanga,mineiro,"13424,24 R$",13017 pessoas
Uberaba,mineiro,"59943,87 R$",337836 pessoas
Uberlândia,mineiro,"61038,02 R$",713224 pessoas
Umburatiba,mineiro,"17107,6 R$",2684 pessoas
Unaí,mineiro,"50544,26 R$",86619 pessoas
União de Minas,mineiro,30580 R$,3828 pessoas
Uruana de Minas,mineiro,"29820,95 R$",3282 pessoas
Urucânia,mineiro,"23226,29 R$",10600 pessoas
Urucuia,mineiro,"11061,34 R$",17479 pessoas
Vargem Alegre,mineiro,"11970,81 R$",5780 pessoas
Vargem Bonita,mineiro,"40894,45 R$",2158 pessoas
Vargem Grande do Rio Pardo,mineiro,"13504,4 R$",4633 pessoas
Varginha,mineiro,"58817,87 R$",136467 pessoas
Varjão de Minas,mineiro,"43704,06 R$",6969 pessoas
Várzea da Palma,mineiro,"26623,1 R$",33744 pessoas
Varzelândia,mineiro,"9704,8 R$",18840 pessoas
Vazante,mineiro,"56478,26 R$",19975 pessoas
Verdelândia,mineiro,"12118,32 R$",7672 pessoas
Veredinha,mineiro,"23208,11 R$",5181 pessoas
Veríssimo,mineiro,41671 R$,3411 pessoas
Vermelho Novo,mineiro,"13235,02 R$",4899 pessoas
Vespasiano,mineiro,"22909,06 R$",129246 pessoas
Viçosa,mineiro,"22673,74 R$",76430 pessoas
Vieiras,mineiro,"14974,51 R$",3700 pessoas
Virgem da Lapa,mineiro,"9585,82 R$",11804 pessoas
Virgínia,mineiro,"20855,96 R$",8908 pessoas
Virginópolis,mineiro,"17587,98 R$",10314 pessoas
Virgolândia,mineiro,"11818,51 R$",4552 pessoas
Visconde do Rio Branco,mineiro,"31179,87 R$",39160 pessoas
Volta Grande,mineiro,"26633,91 R$",4443 pessoas
Wenceslau Braz,mineiro,"13011,59 R$",2356 pessoas